trait	cho	clm
Sleep duration oversleepers vs undersleepers	0.25;0.5;0.5;0.5;0.25;0.25;0.5;0.5;0.5;0.25;0.75;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0;0.5;0.5;1;1;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0;0.25;0.25;0.25;0.75;0.5;0.5;0.5;0.25;0;0.5;0.5;0.25;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.25;0.5;0.75;0.5;0.5;0.5;0.5;0.25;0.25;0.5;0.75;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.25;0.75;0.5;0.5;0.25;0.5;0.25;0.5;0.25;0.25;0.75;0.25	0.5;0.5;0.5;0.5;0.25;0.5;0.25;0.5;0.5;0.5;0.25;0.5;0.5;0.25;0.25;0.5;0.5;0;0.25;0.5;0.75;0.25;0.75;0.25;0.25;0.5;0.5;0.25;0.75;0.5;0;0.25;0.25;0.5;0;0.5;0.5;0.25;0.5;0.25;0.5;0.25;0.5;0.5;0.5;0;0.75;0.5;0.25;0.5;0.5;0.25;0.5;0.5;0.5;0.25;0;0.25;0.75;0.5;0.25;0.75;0.75;0.5;0.5;0.25;0.25;0.25;0.5;0.25;0.25;0.5;0.5;0.25;1;0.5;0.25;0.5;0.5;0.5;0.25;0.25;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0;0;0.75;0.25
Sleep duration	0.564516129032258;0.580645161290323;0.564516129032258;0.612903225806452;0.564516129032258;0.596774193548387;0.532258064516129;0.5;0.596774193548387;0.596774193548387;0.580645161290323;0.596774193548387;0.5;0.564516129032258;0.516129032258065;0.580645161290323;0.661290322580645;0.451612903225806;0.532258064516129;0.548387096774194;0.580645161290323;0.612903225806452;0.629032258064516;0.612903225806452;0.564516129032258;0.532258064516129;0.548387096774194;0.580645161290323;0.629032258064516;0.516129032258065;0.612903225806452;0.548387096774194;0.532258064516129;0.564516129032258;0.580645161290323;0.580645161290323;0.580645161290323;0.612903225806452;0.580645161290323;0.580645161290323;0.532258064516129;0.596774193548387;0.645161290322581;0.596774193548387;0.532258064516129;0.548387096774194;0.645161290322581;0.564516129032258;0.596774193548387;0.516129032258065;0.693548387096774;0.580645161290323;0.516129032258065;0.516129032258065;0.645161290322581;0.612903225806452;0.596774193548387;0.516129032258065;0.596774193548387;0.645161290322581;0.564516129032258;0.580645161290323;0.467741935483871;0.596774193548387;0.612903225806452;0.596774193548387;0.580645161290323;0.580645161290323;0.516129032258065;0.612903225806452;0.612903225806452;0.596774193548387;0.629032258064516;0.564516129032258;0.548387096774194;0.629032258064516;0.516129032258065;0.693548387096774;0.564516129032258;0.564516129032258;0.612903225806452;0.596774193548387;0.564516129032258;0.629032258064516;0.596774193548387;0.580645161290323;0.532258064516129;0.564516129032258;0.483870967741935;0.564516129032258;0.483870967741935;0.596774193548387;0.612903225806452;0.564516129032258	0.5;0.567567567567568;0.581081081081081;0.608108108108108;0.567567567567568;0.567567567567568;0.648648648648649;0.567567567567568;0.581081081081081;0.554054054054054;0.554054054054054;0.621621621621622;0.635135135135135;0.608108108108108;0.594594594594595;0.581081081081081;0.540540540540541;0.513513513513513;0.527027027027027;0.594594594594595;0.621621621621622;0.5;0.567567567567568;0.581081081081081;0.472972972972973;0.527027027027027;0.513513513513513;0.554054054054054;0.594594594594595;0.567567567567568;0.621621621621622;0.5;0.608108108108108;0.540540540540541;0.581081081081081;0.472972972972973;0.554054054054054;0.527027027027027;0.5;0.567567567567568;0.554054054054054;0.554054054054054;0.554054054054054;0.486486486486487;0.486486486486487;0.486486486486487;0.540540540540541;0.432432432432432;0.486486486486487;0.540540540540541;0.540540540540541;0.486486486486487;0.472972972972973;0.432432432432432;0.621621621621622;0.554054054054054;0.513513513513513;0.662162162162162;0.527027027027027;0.513513513513513;0.635135135135135;0.540540540540541;0.527027027027027;0.608108108108108;0.648648648648649;0.486486486486487;0.527027027027027;0.540540540540541;0.648648648648649;0.608108108108108;0.621621621621622;0.527027027027027;0.540540540540541;0.635135135135135;0.540540540540541;0.527027027027027;0.581081081081081;0.540540540540541;0.554054054054054;0.675675675675676;0.608108108108108;0.540540540540541;0.5;0.527027027027027;0.513513513513513;0.567567567567568;0.5;0.540540540540541;0.594594594594595;0.459459459459459;0.513513513513513;0.608108108108108;0.527027027027027;0.513513513513513
Sleep quality	0.166666666666667;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.416666666666667;0.5;0.333333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.0833333333333333;0.0833333333333333;0.0833333333333333;0.416666666666667;0.0833333333333333;0.5;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.25;0.0833333333333333;0.333333333333333;0.0833333333333333;0.25;0.166666666666667;0.25;0.333333333333333;0.166666666666667;0.416666666666667;0.25;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.25;0.416666666666667;0.0833333333333333;0.25;0.25;0.333333333333333;0.0833333333333333;0.0833333333333333;0.333333333333333;0.25;0.5;0.5;0.166666666666667;0.25;0.166666666666667;0.25;0.25;0.583333333333333;0.25;0.5;0.166666666666667;0.25;0.5;0.166666666666667;0.0833333333333333;0.416666666666667;0.25;0.0833333333333333;0.0833333333333333;0.166666666666667;0.25;0.166666666666667;0.166666666666667;0.25;0.25;0.166666666666667;0.25;0.25;0.166666666666667;0.25;0;0.25;0.166666666666667;0.25;0.25;0.25;0.333333333333333;0.416666666666667;0.166666666666667;0.166666666666667;0.0833333333333333;0.25;0.25;0.25;0.166666666666667	0.142857142857143;0.142857142857143;0.0714285714285714;0.142857142857143;0.0714285714285714;0.214285714285714;0.0714285714285714;0.142857142857143;0.285714285714286;0.142857142857143;0.214285714285714;0.142857142857143;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.285714285714286;0.0714285714285714;0.214285714285714;0.357142857142857;0.0714285714285714;0.142857142857143;0.142857142857143;0.142857142857143;0;0.214285714285714;0.0714285714285714;0.214285714285714;0.142857142857143;0.285714285714286;0;0;0.214285714285714;0.142857142857143;0.285714285714286;0.0714285714285714;0.0714285714285714;0.142857142857143;0.0714285714285714;0.285714285714286;0.142857142857143;0.285714285714286;0.357142857142857;0.214285714285714;0.214285714285714;0.214285714285714;0.285714285714286;0.214285714285714;0.142857142857143;0.285714285714286;0;0.214285714285714;0.142857142857143;0;0.142857142857143;0.0714285714285714;0.142857142857143;0.0714285714285714;0.0714285714285714;0.142857142857143;0.142857142857143;0.214285714285714;0.214285714285714;0.142857142857143;0.285714285714286;0.0714285714285714;0;0.214285714285714;0;0.142857142857143;0.285714285714286;0.142857142857143;0.285714285714286;0.214285714285714;0.214285714285714;0.214285714285714;0.142857142857143;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.214285714285714;0;0.142857142857143;0.214285714285714;0.142857142857143;0.142857142857143;0.285714285714286;0.0714285714285714;0.142857142857143;0.142857142857143;0.285714285714286;0.214285714285714;0.285714285714286;0.0714285714285714
Sleep time	0.4;0.2;0.5;0;0.4;0.3;0.3;0.3;0.3;0.2;0.4;0.4;0.1;0.2;0.3;0.4;0.4;0.3;0.1;0.7;0.6;0.6;0.5;0.5;0.4;0.4;0.3;0.4;0.3;0.2;0.4;0.4;0.1;0.5;0.3;0.2;0.1;0;0.1;0.1;0.1;0.3;0.2;0.5;0.3;0.1;0.3;0.6;0.1;0.2;0.4;0.2;0.2;0.2;0.5;0.4;0;0.1;0.4;0.4;0.4;0.2;0.3;0.3;0.2;0.2;0.3;0.3;0.2;0.2;0.4;0.2;0.4;0.3;0.2;0.2;0.1;0.3;0.1;0.2;0.2;0.4;0.4;0.2;0.6;0.2;0.3;0.3;0.2;0.5;0.4;0.1;0.4;0.3	0.4;0;0.2;0.3;0.3;0.4;0.2;0.1;0.3;0.4;0.4;0.5;0.6;0.1;0.4;0.2;0.2;0.4;0.3;0.3;0.1;0.2;0.2;0.3;0.2;0.1;0.1;0.2;0.4;0.1;0.4;0.3;0.4;0.5;0.3;0.6;0.4;0.4;0.3;0.2;0.3;0.5;0.5;0.1;0.4;0.3;0.5;0.2;0.3;0.2;0.2;0.6;0.1;0.4;0.5;0.2;0.5;0.5;0.2;0.4;0.5;0.2;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.1;0.2;0.3;0.1;0.4;0.2;0.2;0.1;0.3;0.4;0.3;0.2;0.1;0.3;0.5;0.2;0.3;0.2;0.1;0.2;0.3;0.3;0.3;0.4
Small-cell lung cancer survival	0;0;1;0.5;0.5;0;0.5;0;0.5;0.5;0;0.5;0.5;1;0;0.5;0.5;0;0;0;0.5;0.5;0;1;0;0;0.5;0.5;0.5;0.5;0.5;0.5;1;0.5;0;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0;0;0.5;1;0.5;0;0;1;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0.5;0;1;0;0.5;0.5;0.5;1;0;0;0.5;0.5;0;1;0.5;0;0;0.5;0.5;0;0;0;0.5;0.5;1;0.5;0.5;0.5;0.5	0.5;0.5;0.5;1;0.5;1;0.5;0;0;0;0;0.5;0.5;1;1;0;0.5;0.5;0.5;1;0;0;0.5;0.5;0;0;1;0;0;0;0.5;0.5;0;0;0.5;1;0.5;0.5;0.5;1;1;0.5;0.5;0;0.5;0.5;0.5;1;0.5;0;1;0.5;0.5;1;1;0.5;0.5;0.5;1;0.5;0.5;0.5;0.5;0;0;0;1;0;0.5;1;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;1;1;0.5;0;1;0.5;0;1;0;0;0.5;0.5;0;0.5
Small cell lung carcinoma	0.275862068965517;0.362068965517241;0.379310344827586;0.344827586206897;0.362068965517241;0.327586206896552;0.327586206896552;0.379310344827586;0.258620689655172;0.293103448275862;0.413793103448276;0.362068965517241;0.241379310344828;0.327586206896552;0.344827586206897;0.293103448275862;0.327586206896552;0.344827586206897;0.379310344827586;0.293103448275862;0.327586206896552;0.344827586206897;0.327586206896552;0.293103448275862;0.396551724137931;0.327586206896552;0.293103448275862;0.344827586206897;0.275862068965517;0.379310344827586;0.310344827586207;0.379310344827586;0.293103448275862;0.362068965517241;0.310344827586207;0.362068965517241;0.413793103448276;0.327586206896552;0.413793103448276;0.413793103448276;0.293103448275862;0.327586206896552;0.379310344827586;0.258620689655172;0.310344827586207;0.258620689655172;0.379310344827586;0.310344827586207;0.293103448275862;0.310344827586207;0.310344827586207;0.293103448275862;0.344827586206897;0.275862068965517;0.413793103448276;0.275862068965517;0.344827586206897;0.362068965517241;0.396551724137931;0.344827586206897;0.344827586206897;0.293103448275862;0.362068965517241;0.362068965517241;0.344827586206897;0.293103448275862;0.327586206896552;0.258620689655172;0.310344827586207;0.379310344827586;0.293103448275862;0.413793103448276;0.413793103448276;0.310344827586207;0.396551724137931;0.344827586206897;0.362068965517241;0.431034482758621;0.258620689655172;0.293103448275862;0.327586206896552;0.327586206896552;0.396551724137931;0.327586206896552;0.310344827586207;0.344827586206897;0.327586206896552;0.379310344827586;0.275862068965517;0.396551724137931;0.275862068965517;0.362068965517241;0.310344827586207;0.396551724137931	0.24390243902439;0.24390243902439;0.25609756097561;0.24390243902439;0.207317073170732;0.25609756097561;0.268292682926829;0.25609756097561;0.231707317073171;0.317073170731707;0.25609756097561;0.25609756097561;0.24390243902439;0.292682926829268;0.231707317073171;0.268292682926829;0.25609756097561;0.158536585365854;0.219512195121951;0.24390243902439;0.231707317073171;0.268292682926829;0.24390243902439;0.25609756097561;0.268292682926829;0.231707317073171;0.317073170731707;0.280487804878049;0.280487804878049;0.24390243902439;0.25609756097561;0.25609756097561;0.304878048780488;0.268292682926829;0.231707317073171;0.207317073170732;0.170731707317073;0.292682926829268;0.268292682926829;0.292682926829268;0.280487804878049;0.24390243902439;0.268292682926829;0.24390243902439;0.268292682926829;0.231707317073171;0.25609756097561;0.268292682926829;0.25609756097561;0.317073170731707;0.231707317073171;0.268292682926829;0.268292682926829;0.292682926829268;0.317073170731707;0.24390243902439;0.292682926829268;0.304878048780488;0.219512195121951;0.231707317073171;0.304878048780488;0.25609756097561;0.280487804878049;0.317073170731707;0.219512195121951;0.24390243902439;0.207317073170732;0.268292682926829;0.231707317073171;0.231707317073171;0.170731707317073;0.195121951219512;0.24390243902439;0.24390243902439;0.292682926829268;0.24390243902439;0.25609756097561;0.25609756097561;0.24390243902439;0.329268292682927;0.317073170731707;0.25609756097561;0.207317073170732;0.280487804878049;0.182926829268293;0.280487804878049;0.219512195121951;0.268292682926829;0.24390243902439;0.207317073170732;0.280487804878049;0.292682926829268;0.25609756097561;0.268292682926829
Small vessel stroke	0.375;0.25;0.375;0.3125;0.5;0.5;0.5;0.5625;0.5;0.375;0.375;0.375;0.375;0.4375;0.375;0.375;0.125;0.3125;0.5;0.1875;0.3125;0.4375;0.4375;0.1875;0.25;0.375;0.375;0.5625;0.4375;0.4375;0.375;0.1875;0.3125;0.5;0.375;0.3125;0.3125;0.375;0.5;0.375;0.5;0.5625;0.375;0.4375;0.375;0.4375;0.4375;0.4375;0.5;0.375;0.375;0.3125;0.5625;0.25;0.5;0.5;0.375;0.375;0.4375;0.3125;0.375;0.25;0.4375;0.375;0.25;0.3125;0.25;0.375;0.4375;0.375;0.5625;0.25;0.25;0.375;0.4375;0.3125;0.4375;0.25;0.3125;0.5;0.4375;0.4375;0.5625;0.5;0.1875;0.4375;0.3125;0.3125;0.3125;0.4375;0.375;0.25;0.5;0.4375	0.388888888888889;0.388888888888889;0.444444444444444;0.444444444444444;0.444444444444444;0.222222222222222;0.444444444444444;0.388888888888889;0.611111111111111;0.555555555555556;0.444444444444444;0.333333333333333;0.388888888888889;0.444444444444444;0.277777777777778;0.388888888888889;0.388888888888889;0.277777777777778;0.444444444444444;0.444444444444444;0.388888888888889;0.444444444444444;0.333333333333333;0.444444444444444;0.277777777777778;0.388888888888889;0.5;0.444444444444444;0.388888888888889;0.388888888888889;0.444444444444444;0.388888888888889;0.555555555555556;0.333333333333333;0.277777777777778;0.5;0.444444444444444;0.388888888888889;0.333333333333333;0.388888888888889;0.444444444444444;0.444444444444444;0.277777777777778;0.444444444444444;0.444444444444444;0.388888888888889;0.5;0.388888888888889;0.444444444444444;0.333333333333333;0.555555555555556;0.222222222222222;0.444444444444444;0.333333333333333;0.555555555555556;0.388888888888889;0.277777777777778;0.277777777777778;0.444444444444444;0.388888888888889;0.555555555555556;0.333333333333333;0.5;0.444444444444444;0.277777777777778;0.388888888888889;0.333333333333333;0.277777777777778;0.444444444444444;0.444444444444444;0.388888888888889;0.277777777777778;0.277777777777778;0.611111111111111;0.277777777777778;0.444444444444444;0.388888888888889;0.5;0.333333333333333;0.5;0.5;0.333333333333333;0.5;0.5;0.444444444444444;0.277777777777778;0.277777777777778;0.611111111111111;0.222222222222222;0.444444444444444;0.444444444444444;0.111111111111111;0.222222222222222;0.444444444444444
Smoking behavior	0.5;0.5;0.55;0.6;0.6;0.5;0.65;0.6;0.65;0.3;0.6;0.6;0.45;0.55;0.55;0.6;0.35;0.75;0.6;0.45;0.55;0.35;0.4;0.65;0.45;0.6;0.6;0.5;0.5;0.35;0.5;0.65;0.5;0.5;0.6;0.6;0.65;0.7;0.55;0.55;0.55;0.45;0.6;0.55;0.55;0.55;0.5;0.55;0.55;0.4;0.5;0.5;0.6;0.55;0.45;0.5;0.35;0.4;0.55;0.6;0.5;0.75;0.5;0.5;0.3;0.55;0.6;0.5;0.4;0.55;0.5;0.6;0.45;0.55;0.6;0.5;0.55;0.4;0.5;0.5;0.45;0.35;0.5;0.6;0.45;0.6;0.5;0.4;0.4;0.45;0.45;0.55;0.55;0.4	0.6;0.566666666666667;0.6;0.466666666666667;0.633333333333333;0.466666666666667;0.6;0.566666666666667;0.566666666666667;0.566666666666667;0.6;0.533333333333333;0.566666666666667;0.633333333333333;0.7;0.433333333333333;0.466666666666667;0.533333333333333;0.566666666666667;0.566666666666667;0.566666666666667;0.633333333333333;0.633333333333333;0.633333333333333;0.5;0.533333333333333;0.5;0.666666666666667;0.433333333333333;0.566666666666667;0.533333333333333;0.5;0.466666666666667;0.6;0.466666666666667;0.633333333333333;0.533333333333333;0.566666666666667;0.4;0.466666666666667;0.633333333333333;0.5;0.466666666666667;0.466666666666667;0.7;0.466666666666667;0.333333333333333;0.533333333333333;0.4;0.566666666666667;0.533333333333333;0.5;0.566666666666667;0.666666666666667;0.466666666666667;0.566666666666667;0.566666666666667;0.433333333333333;0.5;0.466666666666667;0.533333333333333;0.566666666666667;0.633333333333333;0.6;0.366666666666667;0.433333333333333;0.433333333333333;0.566666666666667;0.6;0.566666666666667;0.633333333333333;0.566666666666667;0.5;0.566666666666667;0.533333333333333;0.566666666666667;0.666666666666667;0.433333333333333;0.5;0.6;0.566666666666667;0.6;0.666666666666667;0.7;0.566666666666667;0.533333333333333;0.533333333333333;0.566666666666667;0.433333333333333;0.666666666666667;0.633333333333333;0.533333333333333;0.466666666666667;0.633333333333333
Smoking behaviour maximum cigarettes in a 24 hour period	0.25;0.0625;0.25;0.25;0.3125;0.25;0.25;0.3125;0.25;0.25;0.25;0.1875;0.3125;0.3125;0.1875;0.375;0.3125;0.3125;0.125;0.25;0.375;0.25;0.1875;0.25;0.1875;0.1875;0.25;0.0625;0.3125;0.25;0.0625;0.1875;0.3125;0;0.0625;0.25;0.1875;0.1875;0.125;0.3125;0.3125;0.1875;0.1875;0.25;0.3125;0.375;0.375;0.1875;0.1875;0.1875;0.375;0.125;0.1875;0.375;0.1875;0.1875;0.1875;0.1875;0.1875;0.3125;0.3125;0;0.125;0.1875;0.375;0.25;0.3125;0.1875;0.375;0.25;0.125;0.25;0.25;0.25;0.1875;0.3125;0.1875;0.1875;0.4375;0.1875;0.1875;0.1875;0.25;0.1875;0.0625;0.4375;0.25;0.1875;0.0625;0.25;0.1875;0.3125;0.1875;0.1875	0.136363636363636;0.0909090909090909;0.181818181818182;0.227272727272727;0.181818181818182;0.136363636363636;0.136363636363636;0.136363636363636;0.227272727272727;0.136363636363636;0.227272727272727;0.181818181818182;0.181818181818182;0.181818181818182;0.181818181818182;0.181818181818182;0.227272727272727;0.136363636363636;0.0909090909090909;0.181818181818182;0.136363636363636;0.181818181818182;0.227272727272727;0.0909090909090909;0.272727272727273;0.227272727272727;0.0909090909090909;0.181818181818182;0.181818181818182;0.181818181818182;0.181818181818182;0.181818181818182;0.0909090909090909;0.181818181818182;0.136363636363636;0.0909090909090909;0.136363636363636;0.181818181818182;0.181818181818182;0.136363636363636;0.181818181818182;0.0909090909090909;0.181818181818182;0.136363636363636;0.136363636363636;0.181818181818182;0.136363636363636;0.181818181818182;0.0909090909090909;0.136363636363636;0.272727272727273;0.181818181818182;0.272727272727273;0.227272727272727;0.181818181818182;0.0909090909090909;0.181818181818182;0.181818181818182;0.0909090909090909;0.136363636363636;0.0454545454545455;0.0909090909090909;0.272727272727273;0.136363636363636;0.136363636363636;0.0909090909090909;0.227272727272727;0.0454545454545455;0.0909090909090909;0.136363636363636;0.181818181818182;0.181818181818182;0.136363636363636;0.0909090909090909;0.227272727272727;0.181818181818182;0.136363636363636;0.0909090909090909;0.181818181818182;0.136363636363636;0.0909090909090909;0.136363636363636;0.0454545454545455;0.0454545454545455;0.181818181818182;0.227272727272727;0.181818181818182;0.227272727272727;0.227272727272727;0.136363636363636;0.272727272727273;0.0909090909090909;0.136363636363636;0.181818181818182
Smoking cessation in chronic obstructive pulmonary disease	0.428571428571429;0.571428571428571;0.428571428571429;0.357142857142857;0.428571428571429;0.285714285714286;0.5;0.5;0.214285714285714;0.5;0.5;0.5;0.428571428571429;0.357142857142857;0.428571428571429;0.571428571428571;0.5;0.357142857142857;0.571428571428571;0.357142857142857;0.428571428571429;0.357142857142857;0.5;0.5;0.428571428571429;0.285714285714286;0.571428571428571;0.428571428571429;0.571428571428571;0.428571428571429;0.5;0.5;0.428571428571429;0.571428571428571;0.428571428571429;0.5;0.642857142857143;0.571428571428571;0.428571428571429;0.428571428571429;0.428571428571429;0.571428571428571;0.5;0.571428571428571;0.5;0.5;0.285714285714286;0.5;0.5;0.428571428571429;0.5;0.428571428571429;0.428571428571429;0.5;0.5;0.428571428571429;0.714285714285714;0.571428571428571;0.5;0.285714285714286;0.571428571428571;0.5;0.571428571428571;0.357142857142857;0.428571428571429;0.428571428571429;0.285714285714286;0.5;0.357142857142857;0.5;0.428571428571429;0.428571428571429;0.642857142857143;0.571428571428571;0.428571428571429;0.571428571428571;0.428571428571429;0.285714285714286;0.5;0.285714285714286;0.571428571428571;0.428571428571429;0.428571428571429;0.571428571428571;0.428571428571429;0.285714285714286;0.357142857142857;0.214285714285714;0.571428571428571;0.5;0.5;0.428571428571429;0.5;0.428571428571429	0.5625;0.375;0.6875;0.4375;0.375;0.4375;0.4375;0.4375;0.4375;0.375;0.25;0.5;0.6875;0.6875;0.5;0.5;0.5;0.5;0.5;0.625;0.6875;0.4375;0.25;0.375;0.5;0.1875;0.375;0.5;0.5625;0.5;0.5625;0.4375;0.5;0.25;0.4375;0.25;0.625;0.5625;0.5;0.4375;0.375;0.25;0.3125;0.5;0.5625;0.4375;0.4375;0.375;0.4375;0.4375;0.5;0.375;0.5625;0.5;0.5;0.5;0.5;0.375;0.5;0.4375;0.5625;0.5;0.5625;0.25;0.4375;0.5;0.5;0.5;0.5;0.5625;0.5;0.5;0.375;0.25;0.625;0.5;0.375;0.375;0.3125;0.4375;0.5;0.4375;0.4375;0.4375;0.4375;0.4375;0.3125;0.5625;0.3125;0.375;0.375;0.375;0.375;0.75
Smoking status ever vs never smokers	0.5;0.5;0.428571428571429;0.5;0.714285714285714;0.5;0.642857142857143;0.357142857142857;0.642857142857143;0.785714285714286;0.857142857142857;0.5;0.571428571428571;0.5;0.5;0.428571428571429;0.571428571428571;0.5;0.642857142857143;0.642857142857143;0.642857142857143;0.357142857142857;0.571428571428571;0.428571428571429;0.5;0.428571428571429;0.785714285714286;0.714285714285714;0.5;0.714285714285714;0.5;0.571428571428571;0.571428571428571;0.571428571428571;0.5;0.428571428571429;0.571428571428571;0.357142857142857;0.428571428571429;0.571428571428571;0.428571428571429;0.642857142857143;0.642857142857143;0.5;0.571428571428571;0.571428571428571;0.428571428571429;0.642857142857143;0.571428571428571;0.428571428571429;0.5;0.571428571428571;0.5;0.285714285714286;0.357142857142857;0.714285714285714;0.571428571428571;0.357142857142857;0.357142857142857;0.642857142857143;0.5;0.785714285714286;0.714285714285714;0.571428571428571;0.357142857142857;0.5;0.357142857142857;0.428571428571429;0.571428571428571;0.428571428571429;0.428571428571429;0.5;0.5;0.285714285714286;0.357142857142857;0.5;0.571428571428571;0.5;0.428571428571429;0.428571428571429;0.428571428571429;0.714285714285714;0.428571428571429;0.428571428571429;0.714285714285714;0.428571428571429;0.285714285714286;0.714285714285714;0.428571428571429;0.642857142857143;0.5;0.571428571428571;0.5;0.571428571428571	0.285714285714286;0.714285714285714;0.214285714285714;0.428571428571429;0.571428571428571;0.5;0.642857142857143;0.5;0.428571428571429;0.642857142857143;0.571428571428571;0.428571428571429;0.571428571428571;0.357142857142857;0.714285714285714;0.428571428571429;0.785714285714286;0.642857142857143;0.571428571428571;0.571428571428571;0.571428571428571;0.428571428571429;0.642857142857143;0.428571428571429;0.571428571428571;0.642857142857143;0.5;0.428571428571429;0.5;0.357142857142857;0.428571428571429;0.642857142857143;0.5;0.642857142857143;0.571428571428571;0.571428571428571;0.5;0.5;0.571428571428571;0.571428571428571;0.428571428571429;0.5;0.785714285714286;0.571428571428571;0.642857142857143;0.785714285714286;0.142857142857143;0.714285714285714;0.571428571428571;0.428571428571429;0.5;0.214285714285714;0.357142857142857;0.642857142857143;0.571428571428571;0.714285714285714;0.571428571428571;0.642857142857143;0.428571428571429;0.5;0.571428571428571;0.714285714285714;0.642857142857143;0.642857142857143;0.642857142857143;0.642857142857143;0.714285714285714;0.642857142857143;0.428571428571429;0.642857142857143;0.785714285714286;0.5;0.5;0.357142857142857;0.428571428571429;0.428571428571429;0.714285714285714;0.5;0.357142857142857;0.428571428571429;0.714285714285714;0.5;0.571428571428571;0.428571428571429;0.714285714285714;0.571428571428571;0.642857142857143;0.5;0.571428571428571;0.642857142857143;0.285714285714286;0.714285714285714;0.714285714285714;0.571428571428571
